city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Ellijay,2024-03-02 05:00:00,USA,0,1,p2,p2,100,10n,1022,5,80,2.06,-84.6269,34.785,Georgia
Nome,2024-03-02 07:00:00,USA,32,73,p2,p2,66,01n,1029,-17,70,3.6,-165.40639,64.50111,Alaska
Ogden Dunes,2024-03-02 05:00:00,USA,10,29,p2,p2,74,04n,1019,4,190,2.57,-87.1992,41.6175,Indiana
Gilford,2024-03-02 05:00:00,USA,6,17,p2,p2,68,01n,1030,-3,250,2.57,-71.349958,43.555987,New Hampshire
Monticello,2024-03-01 16:00:00,USA,8,22,p2,p2,49,01d,1036,2,235,2.94,-74.68933,41.65565,New York
West Point,2024-03-01 17:00:00,USA,14,40,p2,p2,93,10d,1026,6,80,2.57,-85.18327,32.87791,Georgia
Bowling Green,2024-03-01 10:00:00,USA,17,51,p2,p2,97,04n,1022,18,75,2.51,-82.1383,27.5792,Florida
Southworth,2024-03-01 17:00:00,USA,1,3,p2,p2,84,04d,999,4,180,4.63,-122.5018,47.51204,Washington
Chester,2024-03-01 11:00:00,USA,15,44,p2,p2,69,01n,1036,-1,0,0.0,-75.3725,39.8356,Pennsylvania
Rahway,2024-03-02 06:00:00,USA,6,17,p2,p2,75,04n,1029,4,160,1.54,-74.276176,40.603943,New Jersey
Tok,2024-03-01 17:00:00,USA,10,28,p2,p2,79,04d,1028,-24,326,1.55,-142.98556,63.33667,Alaska
Lake City,2024-03-02 07:00:00,USA,13,37,p2,p2,87,04n,1013,4,176,4.22,-92.2682,44.44968,Minnesota
Coggon,2024-03-02 07:00:00,USA,16,47,p2,p2,86,01n,1013,1,158,2.24,-91.5269,42.2806,Iowa
Garland,2024-03-01 10:00:00,USA,10,29,p2,p2,84,04n,1018,6,90,2.06,-96.63888,32.91262,Texas
Highlands,2024-03-02 05:00:00,USA,2,7,p2,p2,98,04n,1024,3,101,1.14,-83.20846,35.04822,North Carolina
Keene,2024-03-01 11:00:00,USA,5,15,p2,p2,66,01n,1026,-8,200,1.54,-72.277802,42.930599,New Hampshire
Healy,2024-03-01 11:00:00,USA,22,29,o3,o3,76,01n,1018,-26,0,2.06,-148.967499,63.723301,Alaska
Rhinelander,2024-03-01 16:00:00,USA,7,20,p2,p2,41,01d,1014,4,210,5.14,-89.4125,45.6453,Wisconsin
Westerville,2024-03-02 05:00:00,USA,8,22,p2,p2,95,50n,1018,5,170,4.63,-82.92907,40.12617,Ohio
Westerville,2024-03-02 09:00:00,USA,7,20,p2,p2,96,50n,1017,6,180,2.57,-82.92907,40.12617,Ohio
Andover,2024-03-02 08:00:00,USA,13,37,p2,p2,68,01n,1032,0,210,3.6,-71.137,42.65843,Massachusetts
Lexington,2024-03-01 16:00:00,USA,16,45,p2,p2,47,04d,1033,7,80,3.6,-80.2633,35.8142,North Carolina
Moulton,2024-03-01 10:00:00,USA,11,32,p2,p2,22,10n,1022,8,156,3.54,-87.29335,34.48121,Alabama
Scituate,2024-03-02 08:00:00,USA,0,1,p2,p2,81,01n,1033,1,220,4.12,-70.72587,42.19593,Massachusetts
Glasgow,2024-03-02 06:00:00,USA,3,10,p2,p2,83,10n,1032,3,90,2.06,-75.74521,39.60483,Delaware
Upper Saddle River,2024-03-01 11:00:00,USA,4,12,p2,p2,69,01n,1037,-3,288,1.95,-74.09848,41.05843,New Jersey
Clinton,2024-03-02 08:00:00,USA,15,43,p2,p2,98,50n,1020,10,40,1.54,-90.32176,32.34153,Mississippi
Lahaina,2024-03-02 06:00:00,USA,4,11,p2,p2,82,03n,1021,22,76,5.38,-156.67663,20.87429,Hawaii
Peck,2024-03-01 10:00:00,USA,7,20,p2,p2,87,01n,1016,1,190,5.14,-97.3664,37.4769,Kansas
Hammond,2024-03-01 17:00:00,USA,11,32,p2,p2,49,01d,1023,5,170,3.09,-87.4936,41.6394,Indiana
Irondale,2024-03-02 06:00:00,USA,11,31,p2,p2,97,50n,1021,7,50,2.57,-86.707647,33.558734,Alabama
Tempe,2024-03-01 10:00:00,USA,17,15,p1,p1,56,01n,1017,13,80,4.12,-111.9347,33.4124,Arizona
Prudhoe Bay,2024-03-02 06:00:00,USA,9,25,p2,p2,69,50n,1031,-27,230,8.75,-148.33722,70.25528,Alaska
Dover,2024-03-02 08:00:00,USA,5,15,p2,p2,93,10n,1022,5,80,2.06,-75.52437,39.15817,Delaware
Hallam,2024-03-02 06:00:00,USA,59,117,p2,p2,90,01n,1013,2,205,4.74,-96.78725,40.53778,Nebraska
Anchor Point,2024-03-02 08:00:00,USA,6,19,p2,p2,64,01n,1014,-8,25,10.06,-151.83139,59.77667,Alaska
Shelton,2024-03-02 08:00:00,USA,9,26,p2,p2,81,04n,1032,3,180,2.06,-73.09316,41.31649,Connecticut
Baker City,2024-03-02 07:00:00,USA,4,12,p2,p2,73,04n,995,2,110,5.66,-117.8446,44.78822,Oregon
Pequot Lakes,2024-03-01 16:00:00,USA,5,14,p2,p2,60,01d,993,4,180,7.2,-94.30944,46.60302,Minnesota
Slater,2024-03-01 15:00:00,USA,6,18,p2,p2,61,01d,1016,5,190,7.2,-93.67855,41.87776,Iowa
Colfax,2024-03-02 06:00:00,USA,17,49,p2,p2,86,01n,1019,8,127,2.01,-92.70682,31.51906,Louisiana
West Lafayette,2024-03-02 08:00:00,USA,18,53,p2,p2,91,50n,1019,4,0,0.0,-86.90807,40.42587,Indiana
Lakeville,2024-03-02 07:00:00,USA,17,48,p2,p2,74,01n,1010,4,200,4.12,-93.285803,44.706123,Minnesota
Camden,2024-03-02 06:00:00,USA,23,30,o3,o3,87,04n,1033,3,70,2.06,-75.125291,39.934446,New Jersey
Newport,2024-03-02 05:00:00,USA,13,37,p2,p2,95,50n,1013,5,170,2.57,-84.49578,39.09145,Kentucky
Buckingham,2024-03-01 11:00:00,USA,6,17,p2,p2,74,04n,1035,-1,16,1.77,-78.55556,37.55015,Virginia
South Hill,2024-03-01 16:00:00,USA,8,23,p2,p2,48,01d,1032,5,190,4.12,-76.49494,42.42924,New York
Colorado Springs,2024-03-02 07:00:00,USA,7,19,p2,p2,30,01n,1010,6,230,6.17,-104.8286,38.848,Colorado
